"topic","question_or_title","answer_or_content","source_url","date_collected"
"Passport","How much does a Nigerian international passport cost in 2026 (applying within Nigeria)?","As of 2026, applications made within Nigeria cost ₦100,000 for the 32-page booklet (5-year validity) and ₦200,000 for the 64-page booklet (10-year validity). These fees took effect 1 September 2025, roughly doubling the prior (August 2024) rates. Renewal costs the same as a fresh passport; there is no discounted renewal rate.","https://naijasabi.com.ng/how-much-is-nigerian-passport-2026/","2026-08-04"
"Passport","How much does a Nigerian passport cost for applicants abroad (diaspora)?","For Nigerians applying from outside the country, the fee is unchanged from prior years at $150 for the 32-page (5-year) passport and $230 for the 64-page (10-year) passport, paid via the NIS online portal, regardless of the naira fee increase that applies to domestic applications.","https://nigerialive24.com/politics/public-service/how-long--how-much-for-a-nigerian-passport-in-2026.html","2026-08-04"
"Passport","What is the step-by-step process to apply for a Nigerian passport online?","Visit passport.immigration.gov.ng, create an account, and complete the application form. Select your preferred passport office (or embassy, if abroad) for biometric capture. Pay the passport fee online through the NIS portal and keep the receipt/reference number. Book a biometric capture appointment and attend in person with required documents (fingerprints and photograph are captured there). Track your application status online using your reference number and date of birth; you'll be notified when the passport is ready for collection.","https://nigerianembassyinfo.com/services/passport-renewal","2026-08-04"
"Passport","How long does it take to get a Nigerian passport in 2026?","As of January 2026, official timelines after biometric capture are about 3 weeks for renewals and roughly 6 weeks for fresh applications. The Minister of Interior has indicated some optimized cases can be ready within one week via the Automated Passport Application Process.","https://nigerialive24.com/politics/public-service/how-long--how-much-for-a-nigerian-passport-in-2026.html","2026-08-04"
"Passport","Do I need a NIN to get a Nigerian passport?","Yes. Applicants (including those abroad) need a National Identification Number issued by NIMC before completing a passport application; those abroad without one should enrol for NIN at a Nigerian embassy offering NIN services if available in their country.","https://nigerianembassyinfo.com/services/passport-renewal","2026-08-04"
"Passport","What should I do if there's an error in my passport data?","Passport data is printed exactly as it exists in the NIMC (NIN) database, so any data error must first be corrected at NIMC level via the self-service modification portal or a NIMC office — it cannot be fixed directly on the passport application portal.","https://naijasabi.com.ng/nigerian-passport-renewal-2026/","2026-08-04"
"Passport","Can I renew my Nigerian passport contactlessly?","Yes, for eligible applicants. The NIS Mobile app allows a contactless renewal option where eligible applicants can complete biometrics without visiting a passport office in person, and online renewal (with home delivery in some cases) is available for Nigerians in countries such as Canada, UK, US, and Italy.","https://naijasabi.com.ng/nigerian-passport-renewal-2026/","2026-08-04"
"Passport","How much validity should remain on my passport before I travel?","Most embassies and airlines require at least six months of remaining passport validity before permitting travel or visa issuance, so applicants are advised to begin renewal 9–12 months before expiry rather than waiting until the passport is close to or past expiry.","https://jayget.com/international-passport-renewal-in-nigeria-requirements-fees-in-2025/","2026-08-04"
"Passport","32-page or 64-page: which Nigerian passport should I choose?","The cost per year of validity is identical for both (₦20,000/year): ₦100,000 for 5 years (32-page) or ₦200,000 for 10 years (64-page). Occasional travellers (1–4 trips/year) are generally better served by the cheaper 32-page 5-year option, while frequent business travellers or those needing many visa stamps benefit from the 64-page 10-year booklet to avoid running out of pages mid-validity.","https://naijasabi.com.ng/how-much-is-nigerian-passport-2026/","2026-08-04"
"CAC","What is CAC registration and who needs it?","CAC registration is the legal process of recording a business or organisation with Nigeria's Corporate Affairs Commission (CAC). Anyone operating a business, company, partnership, NGO, church, foundation, club, or association in Nigeria is legally required to register with the CAC. Without registration, you cannot open a corporate bank account, bid for government contracts, or legally protect your business name.","https://www.legit.ng/ask-legit/guides/1709408-everything-budget-cac-registration-fees-nigeria/","2026-08-04"
"CAC","How much does it cost to register a business name with CAC in 2026?","Business name (sole proprietorship/partnership) registration costs roughly ₦11,000–₦25,000 in official CAC fees as of 2026: about ₦1,000–₦1,200 for name reservation (the CAC portal added a ₦200 'AI service fee' from its Version 3.0 update) plus roughly ₦10,000–₦20,000 for registration itself, depending on when the fee schedule was last updated. Realistic all-in cost including bank portal/Remita charges is typically ₦15,000–₦35,000.","https://afrokonnect.ng/register-business-nigeria-cac-2026/","2026-08-04"
"CAC","How much does it cost to register a private limited company (LTD) with CAC in 2026?","For a company with share capital up to ₦1 million, official CAC incorporation fees run roughly ₦30,000–₦40,000, excluding stamp duty and professional/agent fees. For share capital exceeding ₦1 million, the CAC fee increases by about ₦10,000 for every additional ₦1 million of share capital, plus a 0.75% FIRS stamp duty (roughly ₦7,500 per additional ₦1 million).","https://fastcac.com/blog/cac-registration-cost","2026-08-04"
"CAC","How long is a CAC name reservation valid?","A reserved business/company name is held for 60 days from approval. If registration is not completed within that window, the reservation expires and the name-reservation step must be repeated.","https://afrokonnect.ng/register-business-nigeria-cac-2026/","2026-08-04"
"CAC","What is the CAC annual returns requirement and fee?","Every CAC-registered entity must file annual returns to keep its status 'Active'. The yearly fee is about ₦3,000 for Business Names and ₦5,000 for Companies. Missing the annual return deadline attracts a monthly late-filing penalty that can quickly exceed the original registration fee.","https://cacregister.com.ng/blog/cac-registration-fees-official","2026-08-04"
"CAC","Can I register a business with CAC entirely online?","Yes. As of 2026, business registration in Nigeria is handled completely through the CAC online portal — name search and reservation, submission of the registration form with business/owner details, and payment can all be completed online without visiting a CAC office in person.","https://afrokonnect.ng/register-business-nigeria-cac-2026/","2026-08-04"
"CAC","What documents do I need to register a business name with CAC?","You typically need: a proposed business name (checked for availability), the nature of the business, the principal business address, and the personal details (including means of ID) of the proprietor(s) or partners. For a sole proprietorship you provide your own details; for a partnership, details of all partners are required.","https://afrokonnect.ng/register-business-nigeria-cac-2026/","2026-08-04"
"CAC","What is the CAC fee to get a Certified True Copy (CTC) of my registration documents?","Re-obtaining Certified True Copies of CAC registration documents (for example, if the originals are lost) costs between ₦2,500 and ₦5,000 per document as of 2026.","https://cacregister.com.ng/blog/cac-registration-fees-official","2026-08-04"
"Tax","What replaced the old TIN system in Nigeria from 2026?","Under the Nigeria Tax Administration Act 2025 (effective 1 January 2026), the previously separate TINs issued by FIRS, the Joint Tax Board, and state tax authorities have been unified into a single 'Tax ID.' TINs issued before 2026 remain valid under the new harmonised system; every 'taxable person' (anyone carrying on trade, business, or economic activity to earn income) must have a Tax ID.","https://lawpadi.com/how-to-get-a-taxpayers-identification-number-tin/","2026-08-04"
"Tax","Do I need to separately apply for a Tax ID if my business is CAC-registered?","Usually not. Under the harmonised system introduced by the Nigeria Tax Administration Act 2025, a business's CAC registration number (RC number for companies, BN number for business names) is automatically linked to its Tax ID, so most CAC-registered businesses already have one without a separate application.","https://lawpadi.com/how-to-get-a-taxpayers-identification-number-tin/","2026-08-04"
"Tax","How do I register for a TIN with FIRS?","Companies incorporated with CAC after 1 September 2023 can self-register for a TIN online via the FIRS TaxPro Max self-registration module. Businesses/companies registered before that date must visit the nearest FIRS office in person with incorporation documents (Memorandum & Articles of Association, Certificate of Incorporation, Form CAC 1.1 status report) to complete registration manually.","https://www.bomesresourcesconsulting.com/register-tax-firs-federal-inland-revenue-service.html","2026-08-04"
"Tax","How do I register for VAT in Nigeria?","A Tax Identification Number (TIN) is a prerequisite. Obtain or confirm your TIN online at tin.firs.gov.ng or via etax.firs.gov.ng, then complete VAT registration (duly completed and stamped VAT Form 001) either online through the FIRS portal or at an FIRS office with your business registration documents, TIN, and bank details. Once approved, FIRS issues a VAT Registration Certificate, and your VAT number (your TIN) must appear on every tax invoice thereafter.","https://www.invoicegenerator.ng/blog/how-to-register-for-vat-nigeria-firs-guide","2026-08-04"
"Tax","What is the VAT rate in Nigeria and when are VAT returns due?","The standard VAT rate is 7.5%, charged as a separate line item on taxable goods/services invoices — it is not to be blended into the price. VAT returns and payment of the net VAT collected are due by the 21st of the month following the transaction month (for example, March VAT is due by 21 April).","https://www.invoicegenerator.ng/blog/how-to-register-for-vat-nigeria-firs-guide","2026-08-04"
"Tax","What are Nigeria's 2026 personal income tax (PAYE) bands under the Nigeria Tax Act 2025?","Effective 1 January 2026: 0% on the first ₦800,000 of annual income (fully tax-free); 15% on the next ₦2.2 million (i.e., ₦800,001–₦3,000,000); 18% on the next ₦9 million (₦3,000,001–₦12,000,000); 21% on the next ₦13 million (₦12,000,001–₦25,000,000); 23% on the next ₦25 million (₦25,000,001–₦50,000,000); and 25% on income above ₦50 million. These are marginal rates applied band by band, not flat rates on total income.","https://www.countrytaxcalc.com/tax-calculator/nigeria/","2026-08-04"
"Tax","Who is exempt from personal income tax under the Nigeria Tax Act 2025?","Individuals earning at or below the annual amount equivalent to the national minimum wage, and in general anyone earning ₦800,000 or less per year, are fully exempt from personal income tax under the Nigeria Tax Act 2025's Fourth Schedule and Section 58.","https://legalbytes.substack.com/p/understanding-nigerias-2026-tax-reform-646","2026-08-04"
"Tax","What replaced the Consolidated Relief Allowance (CRA) in the 2026 tax reform?","The old Consolidated Relief Allowance has been abolished and replaced with a simpler 'rent relief': individuals can deduct 20% of their annual rent paid, up to a maximum of ₦500,000, from taxable income before PAYE is calculated.","https://www.countrytaxcalc.com/tax-calculator/nigeria/","2026-08-04"
"Tax","What are the four laws that make up Nigeria's 2025/2026 tax reform package?","The reform package comprises four Acts: the Nigeria Tax Act (NTA), the Nigeria Tax Administration Act (NTAA), the Nigeria Revenue Service (Establishment) Act, and the Joint Revenue Board (Establishment) Act. Together they repeal and replace the former Personal Income Tax Act, Companies Income Tax Act, Value Added Tax Act, Capital Gains Tax Act, Petroleum Profits Tax Act, and Stamp Duties Act.","https://remotesolutionsafrica.com/nigeria-2026-tax-reform/","2026-08-04"
"Tax","Has FIRS been renamed under the 2026 tax reforms?","Yes. FIRS has been reconstituted as the Nigeria Revenue Service (NRS) under the Nigeria Revenue Service (Establishment) Act, one of the four laws in the 2025 tax reform package that took effect 1 January 2026. Similarly, the Joint Tax Board has been rebranded as the Joint Revenue Board.","https://remotesolutionsafrica.com/nigeria-2026-tax-reform/","2026-08-04"
"Tax","What is the Company Income Tax (CIT) exemption threshold for small businesses under the 2025 reform?","The Nigeria Tax Act 2025 raised the small-company CIT exemption threshold to businesses with annual turnover up to ₦100 million, meaning qualifying small companies pay 0% Company Income Tax, as part of a broader package that also abolished the old minimum tax and raised the Capital Gains Tax exemption threshold to ₦150 million.","https://nairatax.com/","2026-08-04"
"Tax","What is Nigeria's Capital Gains Tax rate for companies under the 2025 reform?","The Capital Gains Tax rate for companies was increased from 10% to 30% under the Nigeria Finance Act/Nigeria Tax Act 2025 changes effective from January 2026.","https://mercans.com/wp-content/uploads/2025/09/Nigeria-Finance-Act-2025-Changes-to-Tax-Rates-January-2026.pdf","2026-08-04"
"Tax","Do employees now need a TIN/Tax ID to be paid through payroll?","Yes. The Nigeria Tax Administration Act 2025 requires all taxable persons, including salaried employees, to hold a valid Tax Identification Number. Employers/HR teams are expected to verify TIN compliance for every employee, and employees without a TIN may face restrictions in payroll tax processing.","https://bizedgeapp.com/blog/what-you-need-to-know-about-the-new-paye-tax-law-in-nigeria","2026-08-04"
"Tax","When is the annual personal income tax return deadline in Nigeria?","The annual income tax return deadline in Nigeria is 31 March of the year following the tax year (e.g., the 2025 tax year return is due by 31 March 2026).","https://www.countrytaxcalc.com/tax-calculator/nigeria/","2026-08-04"
"Tax","What is the new withholding tax rate on Treasury Bills and short-term bonds under the 2025 reform?","The Nigeria Tax Act 2025 introduced a 10% withholding tax on Treasury Bills, commercial paper, and bonds with a maturity of less than one year.","https://nairatax.com/","2026-08-04"
"Tax","Is registering for tax with FIRS/NRS optional for a new business?","No. Registering for taxes is a legal obligation, not optional. A new business must register with the tax authority (now Nigeria Revenue Service) and file returns on a self-assessment basis; simply having a CAC number does not by itself mean VAT registration is complete — that is a separate registration step.","https://www.bomesresourcesconsulting.com/faqs-firs-tax-registration-nigeria.html","2026-08-04"
"Driver's License","How much does a Nigerian driver's licence cost in 2026?","The official FRSC fee is ₦15,000 for a 3-year licence or ₦21,000 for a 5-year licence. This fee covers the application, biometric capture, learner's permit, and licence card. Realistic all-in costs — including accredited driving school (₦20,000–₦50,000), the learner's permit, and VIO test — typically total ₦45,000–₦82,000 when done independently, or ₦75,000–₦147,000 when using an agent.","https://fenixtelematics.ng/blog/how-much-is-drivers-license-in-nigeria/","2026-08-04"
"Driver's License","What is the process to apply for a new Nigerian driver's licence?","First complete training at an FRSC-accredited driving school and pass its exit test. Apply online at nigeriadriverslicence.frsc.gov.ng, filling in personal details (name, DOB, address, NIN, phone, blood group, next of kin) and uploading your driving school certificate. Choose an FRSC Drivers Licence Centre (DLC) for biometric capture, generate a payment reference and pay via Remita or a supported bank channel, then print the acknowledgement slip and temporary licence. Visit the chosen DLC in person for fingerprint, photo, and signature capture, and take a road test if it isn't waived. A temporary licence is valid for 60 days while the permanent card is produced.","https://awajis.com/nigeria-drivers-license/","2026-08-04"
"Driver's License","When can I renew my Nigerian driver's licence?","A licence holder may apply for renewal at any time from 30 days before the expiry date. The renewal process is completed online (application and payment), followed by a VIO test and a visit to an FRSC Drivers Licence Centre for biometric capture.","https://www.nigeriadriverslicence.frsc.gov.ng/","2026-08-04"
"Voter Registration","How do I register for a Permanent Voter's Card (PVC) online in 2026?","Go to the INEC Self-Service CVR (Continuous Voter Registration) Portal at cvr.inecnigeria.org/online and select 'Register Online.' You'll need to create an account and verify your National Identification Number (NIN). Online registration uses the INEC mobile application to capture your passport photograph and fingerprints via your smartphone; the portal displays a QR code/link to continue biometric capture on your device. After reviewing your submitted details, you finalize the application through the portal.","https://punchng.com/how-to-register-update-voter-card-on-inecs-online-self-service-portal/","2026-08-04"
"Voter Registration","What if I don't have a NIN or don't want to do biometric capture on my phone for PVC registration?","You can choose the 'Pre-Registration' option: complete the online pre-registration form with your biodata, schedule an appointment, print the acknowledgement slip, and visit the selected INEC registration centre in person to complete fingerprint and photograph capture. This shortens the wait at the centre since biodata is already on file.","https://tribuneonlineng.com/step-by-step-guide-to-registering-for-pvc-on-inecs-online-self-service-portal/","2026-08-04"
"Voter Registration","Who is eligible to register as a voter in Nigeria?","Every Nigerian citizen aged 18 years or above is entitled to register as a voter, including persons living with any form of disability. Each person must appear in person to register or to collect their PVC — registration or collection by proxy is not allowed and is an offence.","https://govote.ng/faqs/","2026-08-04"
"Voter Registration","Does a Permanent Voter's Card (PVC) expire?","No. All Permanent Voter's Cards issued by INEC do not expire.","https://govote.ng/faqs/","2026-08-04"
"Voter Registration","How do I transfer my voter registration to a new polling unit?","Registered voters who have moved to a new state, city, or neighbourhood can request a transfer of their polling unit through the INEC CVR portal (cvr.inecnigeria.org) using the 'Start Transfer Request' option, or by visiting an INEC State/Local Government office in person with their registration details.","https://cvr.inecnigeria.org/Public/getStarted","2026-08-04"
"Voter Registration","What documents do I need to collect my PVC?","Bring a valid means of identification (such as a National ID/NIN slip, international passport, or driver's licence) and your printed application/registration slip from the online registration process. Collection must be done in person at the designated INEC office; PVCs are not issued by proxy.","https://ngelections.com/pvc/","2026-08-04"
"Voter Registration","What is the only document INEC accepts for voter accreditation at elections?","Under Section 47(1) of the Electoral Act 2022 (as amended), the Permanent Voter's Card (PVC) remains the only valid document for voter accreditation at Nigerian elections.","https://allafrica.com/stories/202601220540.html","2026-08-04"
"Birth Certificate","Which agency issues birth certificates in Nigeria and where do I register?","The National Population Commission (NPC) is responsible for registering every birth in Nigeria and issuing birth certificates. Registration can be done at NPC Local Government Headquarters, NPC registration posts located in hospitals and health centres, or other designated NPC registration centres nationwide.","https://citizenshiprightsafrica.org/en/how-to-get-birth-certificate-nigeria/","2026-08-04"
"Birth Certificate","How do I register my child's birth online through the NPC self-service portal?","Visit the NPC birth registration self-service portal at birthreg-selfservice.nationalpopulation.gov.ng, go to 'Services', and select 'Birth Registration (Self Service).' The service is only available for children born in Nigeria who already have a National Identification Number (NIN), and requires that at least one parent is Nigerian and holds a valid birth certificate. After agreeing to the terms, you enter your email and pay a non-refundable ₦2,000 registration fee online to proceed. The certificate can only be downloaded once after a successful application; a separate reprint request is needed for additional copies.","https://myschoolgist.com/news/npc-birth-certificate-online/","2026-08-04"
"Birth Certificate","Can an adult (18+) get a birth certificate in Nigeria if one was never issued?","Historically, NPC guidance has distinguished between minors and adults: individuals under 18 can obtain a standard birth certificate, while adults over 18 without a prior registration typically obtain an 'attestation letter' instead — a legal document backing an Age Declaration Affidavit — through the NPC's late registration process, sometimes requiring a sworn affidavit from a High Court if no hospital birth record exists.","https://www.justice.gov/sites/default/files/eoir/legacy/2013/12/18/NGA103787.E.pdf","2026-08-04"
"Birth Certificate","Why might I need to authenticate my Nigerian birth certificate?","Birth certificate authentication is a certification process by Nigeria's Ministry of Foreign Affairs that validates an NPC-issued birth certificate so it is legally recognized by foreign governments, embassies, and international institutions — typically required for visa applications, immigration, or legal proceedings abroad. The Ministry verifies the document originated from the NPC, that signatures/seals are genuine, and that the content hasn't been altered.","https://www.legalisation.ng/how-to-authenticate-birth-certificate-in-nigeria-complete-ministry-of-foreign-affairs-guide-2026/","2026-08-04"
"Birth Certificate","Why does NIMC say a NIN requires a birth certificate first?","For children, NIMC enrolment for a NIN requires either an original birth certificate or a statutory declaration of age. Where a child's birth was never registered, parents must first go through the NPC's late registration process to obtain a birth certificate or age declaration before the child can be enrolled for a NIN — a step now especially relevant since NIN is required for 2026 WAEC/NECO registration.","https://www.withinnigeria.com/2026/07/02/how-to-register-for-nin-birth-certificate-requirements-explained/","2026-08-04"
"Tax Clearance Certificate","What is a Tax Clearance Certificate (TCC) and who issues it?","A Tax Clearance Certificate (TCC) is an official document certifying that an individual or company has settled its tax liabilities, typically covering the three years immediately preceding the current assessment year. For companies it is issued by the Nigeria Revenue Service (NRS, formerly FIRS); for individuals it is issued by the relevant State Internal Revenue Service (SIRS), or FIRS/NRS directly for those resident in the FCT.","https://taxngr.com/how-to-get-tax-clearance-certificate-in-nigeria/","2026-08-04"
"Tax Clearance Certificate","What is a TCC commonly required for?","A TCC is commonly required for: bidding on government contracts, obtaining credit facilities/loans from Nigerian banks, visa applications (many foreign embassies require it), import/export licences, registering or transferring ownership of property, and company incorporation or directorship filings.","https://www.countrytaxcalc.com/tax-guides/moving-from-nigeria-tax-guide-2026/","2026-08-04"
"Tax Clearance Certificate","How do existing companies obtain a TCC online in 2026?","For existing companies (registered for tax and having filed corporate tax returns for two or more years), the process is fully automated: log in to the E-Services TCC portal at tcc.firs.gov.ng, click 'Generate TCC', and — provided your returns are up to date and taxes paid — a copy is sent to your registered email address, sometimes instantly.","https://sowprofessional.com/what-is-a-tax-clearance-certificate/","2026-08-04"
"Tax Clearance Certificate","What is the general step-by-step process to obtain a TCC?","1) Ensure you have a valid Tax ID/TIN. 2) File all outstanding personal/company income tax returns for the past three years with the relevant tax authority (SIRS for individuals, NRS/FIRS for companies or FCT residents). 3) Pay any outstanding taxes, penalties, and interest. 4) Submit the TCC application online (or in person) with supporting documents such as incorporation documents and bank statements. 5) The tax authority reviews compliance and issues the TCC, valid for one year from the date of issue.","https://getoze.com/blog/get-tax-clearance-certificate-nigeria/","2026-08-04"
"Tax Clearance Certificate","Can Lagos residents generate an electronic TCC (eTCC) instantly?","Yes, if their records are complete. Through the LIRS e-Tax portal (etax.lirs.net), an eligible taxpayer files outstanding Personal Income Tax returns, ensures their employer has filed matching PAYE returns, updates their profile with a recent passport photo and address, pays any outstanding assessments, and can then generate an eTCC instantly, complete with QR code and certificate number.","https://rexobeconsult.com/tax-clearance-certificate-nigeria-consultant/","2026-08-04"
"Land Registration","What is a Certificate of Occupancy (C of O) and how long does it grant?","A Certificate of Occupancy (C of O) is a statutory document issued by a state government under the Land Use Act of 1978 granting an individual, company, or institution the legal right to occupy and use a specific parcel of land, typically for 99 years. Because all land is technically vested in the state governor under the Act, a C of O is the primary legal proof of land ownership in Nigeria and protects against disputes.","https://affablehomes.com.ng/types-certificate-of-occupancy-nigeria/","2026-08-04"
"Land Registration","What are the general steps to obtain a Certificate of Occupancy?","Generally: 1) Commission a registered surveyor to prepare a survey plan of the land. 2) Submit an application to the state land bureau/ministry with evidence of land ownership or purchase, the completed application form, and required fees. 3) Obtain Governor's Consent, which validates the transfer of ownership. 4) Pay stamp duty and registration fees. 5) The Governor signs and the C of O is issued upon approval.","https://www.mondaq.com/nigeria/real-estate/1524806/how-to-register-your-property-in-nigeria-a-step-by-step-guide","2026-08-04"
"Land Registration","How much does a Certificate of Occupancy cost in Lagos State?","Costs vary by land size and location, but for residential land in Lagos, C of O fees (including survey, processing, and issuance fees) commonly range from roughly ₦100,000 to ₦300,000 or more, excluding legal fees. Separately, overall property registration/transfer costs (consent fees, stamp duty, registration) typically add about 4%–8% of the purchase price in Lagos as of 2026.","https://theafricanvestor.com/blogs/news/lagos-nigeria-property-taxes-fees","2026-08-04"
"Land Registration","How long does it take to get a Certificate of Occupancy?","Processing time varies significantly by state and the efficiency of the local land registry, generally ranging from three months to as long as two years.","https://www.naijahouses.com/blog-details/certificate-of-occupancy","2026-08-04"
"Land Registration","Can I get a bank loan using land without a Certificate of Occupancy?","No. Nigerian banks and financial institutions generally require a valid Certificate of Occupancy before they will accept land as viable collateral for a loan.","https://trustedadvisorslaw.com/certificate-of-occupancy-in-nigeria/","2026-08-04"
"Health Insurance","What replaced Nigeria's old NHIS and what does it cover?","The National Health Insurance Authority (NHIA), established under the NHIA Act of 2022, replaced the former National Health Insurance Scheme (NHIS). It runs several programmes: Formal Sector Social Health Insurance (for government/private employees), GIFSHIP (Group, Individual and Family Social Health Insurance for the self-employed/informal sector), TISHIP (for tertiary students), and coverage for vulnerable groups such as pregnant women, children, the elderly, and persons with disabilities.","https://tribuneonlineng.com/how-to-access-national-health-insurance-authority-nhia-services-in-2026/","2026-08-04"
"Health Insurance","Is health insurance mandatory for employers in Nigeria?","Yes, for larger employers. Under Sections 3 and 14 of the NHIA Act, employers with five or more staff are legally required to enrol those employees in an NHIA-approved health insurance plan. In September 2025, the President directed all federal Ministries, Departments, and Agencies to enrol their employees, and the House of Representatives has directed NHIA to compile and sanction defaulting private companies.","https://www.withinnigeria.com/2026/06/12/nhia-health-insurance-registration-for-nigerian-workers-everything-you-need-to-know-in-2026/","2026-08-04"
"Health Insurance","How do self-employed Nigerians register for NHIA coverage under GIFSHIP?","Self-employed/informal-sector Nigerians register under GIFSHIP by visiting any NHIA office (or the official online portal), filling the enrolment form, paying the applicable premium (individual, couple, or family plan), and providing their NIN. An NHIA ID is issued within a few days, and enrolees can choose their preferred Health Maintenance Organization (HMO) and Health Care Provider.","https://www.nhia.gov.ng/2776-2/","2026-08-04"
"Health Insurance","How much does individual/family GIFSHIP enrolment cost?","As individual enrolment, one person pays roughly ₦22,000 annually (with the option to add up to two more people at ₦22,000 each, i.e., ₦66,000 for three). Family enrolment ranges from ₦66,000 up to a maximum of ₦198,000 annually depending on family size (4–9 members). A separate NHIA ID card fee of ₦1,500 applies per enrolee. Groups of 10 pay a minimum of ₦220,000 annually, with each additional person costing ₦22,000.","https://www.nhia.gov.ng/2776-2/","2026-08-04"
"Health Insurance","How are contributions split for the Formal Sector Social Health Insurance Programme (FSHIP)?","Under FSHIP (public and private sector employees), the employer contributes 10% and the employee contributes 5% of salary toward NHIA health insurance premiums.","https://www.nhia.gov.ng/faq/","2026-08-04"
"CERPAC","What is CERPAC and who needs it?","The Combined Expatriate Residence Permit and Aliens Card (CERPAC) is a residence permit and identity document issued by the Nigeria Immigration Service (NIS) to foreign nationals residing or working in Nigeria. It is mandatory for any non-Nigerian intending to stay in the country beyond 56 consecutive days for employment, business, or long-term residence.","https://immigration.gov.ng/combined-expatriate-residence-permit-and-aliens-card-cerpac/","2026-08-04"
"CERPAC","How much does a CERPAC cost and how long is it valid?","The standard government fee is US$2,000 per year for employed foreigners (a rate unchanged since December 2018, when it was doubled from $1,000). Students pay US$600, and foreigners married to Nigerian citizens are exempt (gratis). CERPAC is typically issued for one year and renewable, with some categories valid up to two years (requiring $4,000 upfront if paid for two years at once).","https://immigration.gov.ng/combined-expatriate-residence-permit-and-aliens-card-cerpac/","2026-08-04"
